Date,Three_Component_Index,News_Based_Policy_Uncert_Index
2017-04-01,121.5705948,157.6765442
2017-05-01,104.1709747,129.8880615
2017-06-01,98.75895691,120.6384659
2017-07-01,110.7535934,141.1383209
2017-08-01,109.1782608,137.8597107
2017-09-01,96.75076294,116.620018
2017-10-01,102.1605759,125.8658524
2017-11-01,94.48960114,111.2826843
2017-12-01,111.4972229,140.350174
2018-01-01,123.6515579,160.9672089
2018-02-01,94.0074234,114.7555618
2018-03-01,136.3343201,187.095871
2018-04-01,108.2137375,139.0353699
2018-05-01,124.9366455,162.2766876
2018-06-01,108.6273956,134.402771
2018-07-01,133.0862579,176.2050934
2018-08-01,99.13562012,114.96138
2018-09-01,102.660202,120.9851913
2018-10-01,111.512558,136.1146545
2018-11-01,130.2238617,164.9421997
2018-12-01,166.2868042,226.576889
2019-01-01,201.0319977,284.1359253
2019-02-01,106.9006577,123.6392822
2019-03-01,140.2473755,180.6316833
2019-04-01,98.73669434,109.6863632
2019-05-01,122.538765,160.8581543
2019-06-01,150.2007599,208.1348877
2019-07-01,149.9729004,207.7454681
2019-08-01,190.473114,282.5398254
2019-09-01,138.6794586,194.0199738
