date,bonds,bonds_global_gov,bonds_global,bonds_em_hc,bonds_em_local,equities_ch,equities_global_dev,equities_em,equities_global_sc,private_equity,infrastructure,ils,gold
31.10.96,0.008582691,0.014828235,0.011188136,0.013651722,0.000110681,0.001586142,0.011315553,-0.022916197,,0.009435736,,,0.006757466
30.11.96,0.001707734,0.015399617,0.0181957,0.046960594,0.050128545,0.042919197,0.092810419,0.050676522,,0.030938272,,,0.014344065
31.12.96,0.008434772,-0.005438197,-0.004541944,0.006948096,0.029212564,0.010897307,0.01467695,0.035055231,,0.028577232,,,0.023792954
31.01.97,0.009322535,0.005647613,0.006686341,0.021273741,0.081894944,0.088029302,0.072901493,0.124201526,,0.036098932,,,-0.011617452
28.02.97,0.01703558,0.001408026,0.005089994,0.01348554,0.054705533,0.048520704,0.048500871,0.077690383,,0.003495066,,,0.078685372
31.03.97,-0.007324742,-0.008716934,-0.008502977,-0.039552374,-0.039849252,0.03322414,-0.042472409,-0.050216987,,-0.018677287,,,-0.053969683
30.04.97,0.007265885,0.007960141,0.01052052,0.026371087,0.019184731,0.046795007,0.056392401,0.024291203,,0.027616938,,,-0.002600359
31.05.97,0.010189231,0.002641381,0.001460644,0.031343089,-0.013078419,0.031618496,0.019546527,-0.012485058,,0.00998936,,,-0.028133925
30.06.97,0.004708079,0.011195309,0.014802936,0.019873554,0.064257236,0.10877466,0.082087585,0.08220058,,0.048060646,,,0.001185713
31.07.97,0.000289897,0.016370715,0.01853684,0.037561209,0.040898982,0.051683479,0.085154195,0.051367491,,-0.042162168,,,0.007733825
31.08.97,-0.002670229,-0.005539104,-0.014421266,-0.008083678,-0.081264095,-0.115907903,-0.084049455,-0.154816175,,-0.039801917,,,-0.020867351
30.09.97,0.001219902,0.012308417,0.017571446,0.024543628,0.002542409,0.076121065,0.031878023,0.005657192,,-0.004601639,,,0.006304166
31.10.97,-0.000232248,0.006508767,-0.001329449,-0.103938293,-0.107400064,-0.045038095,-0.088956654,-0.218490288,,-0.029644277,,,-0.103347779
30.11.97,0.001682574,0.003065533,0.01011569,0.033492147,-0.005461381,0.051959847,0.039234223,-0.016382905,,0.005209445,,,-0.030884954
31.12.97,0.013073587,0.007852025,0.008008499,0.015497224,0.033843577,0.077425286,0.035676938,0.04659912,,0.047548901,,,-0.010244269
31.01.98,0.015218055,0.009660715,0.017141562,0.004052942,-0.023082435,0.049281504,0.040043449,-0.070054935,,0.077130835,,,0.058861395
28.02.98,0.009646197,0.001242557,0.006147965,0.020903536,0.0505188,0.085577548,0.062016241,0.093843921,,0.084597956,,,-0.013769655
31.03.98,-0.004755387,0.002921123,0.00781562,0.017072794,0.05615776,0.059719079,0.0827785,0.080505699,,0.04790198,,,0.048016712
30.04.98,-0.00652641,0.001238507,0.003163022,-0.001308831,-0.013606332,-0.021085417,-0.006335986,-0.027181394,,0.024046903,,,0.0099384
31.05.98,0.006694633,0.008924289,0.011128517,-0.029732409,-0.080593128,0.027980245,-0.026416806,-0.161696926,,0.007163445,,,-0.069731402
30.06.98,-0.004720966,0.003279412,-9.16E-06,-0.027513958,-0.027215102,0.025979611,0.05031552,-0.08532204,,0.013966836,,,0.041068519
31.07.98,0.004160114,0.003328428,0.009685285,-0.000507352,-0.001135122,0.053336554,-0.018806248,0.013689439,,-0.070773084,,,-0.048921187
31.08.98,0.010047531,0.018037972,0.006463324,-0.262021496,-0.156701525,-0.20002452,-0.158866947,-0.371328002,,-0.179951385,,,-0.074713091
30.09.98,0.004322773,0.020384308,0.011825973,0.091515862,0.012932443,-0.134167985,-0.025794443,0.01766969,,-0.038156787,,,0.022096565
31.10.98,0.007163354,-0.004801099,-0.006506552,0.061801628,0.044200119,0.113830105,0.066766639,0.078046248,,0.021039861,,,-0.029566678
30.11.98,0.004352995,0.003205054,0.005864104,0.063149028,0.06306081,0.075791452,0.088893024,0.107135886,,0.097114042,,,0.031680827
31.12.98,0.002563346,-0.005246048,0.000653566,-0.012494191,-0.01015474,0.01921385,0.035426748,-0.027625812,,-0.007432448,,,-0.033317005
31.01.99,0.008236956,0.007431831,0.013292017,-0.014704757,0.020287326,0.009490348,0.053943643,0.016578584,0.034118514,0.108705193,,,0.027270354
28.02.99,0.003314812,-0.014904557,-0.016227014,0.003062457,0.008793211,-0.01343108,-0.006999359,0.028980533,-0.025035603,0.012332842,,,0.016852063
31.03.99,0.001070091,0.006039119,0.004913047,0.050275087,0.089729667,0.009870865,0.060834649,0.144524399,0.058342658,0.129613123,,,0.00056025
30.04.99,0.008326927,0.00657524,0.004539961,0.050820346,0.093473834,0.028375086,0.06831143,0.147308353,0.103677067,0.10311109,,,0.054671151
31.05.99,-0.002316827,-0.007841127,-0.009123781,-0.051175115,-0.010528296,-0.051947108,-0.03756294,-0.0062941,-0.011160245,-0.016767606,,,-0.059004178
30.06.99,-0.015191645,-0.015779724,-0.012825046,0.025659595,0.069211275,0.005038497,0.06596818,0.128685593,0.076722405,0.087902697,,,-0.012098378
31.07.99,-0.003046536,-0.004585745,-0.007307897,-0.017442961,-0.041240121,-0.002113398,-0.044137894,-0.068692895,-0.014988003,-0.007677231,,,-0.064559176
31.08.99,-0.004043597,-0.002161688,-0.00287905,-0.006630672,0.020458778,0.011344769,0.010503509,0.021177563,0.016054235,0.050026077,,,0.013685193
30.09.99,-0.004953448,0.001385886,0.002334528,0.025426568,-0.017725713,-0.009764294,-0.017458012,-0.042202901,-0.009110677,-0.003265427,,,0.152582226
31.10.99,-0.011888846,-0.001701209,-0.000819396,0.028539701,0.02698531,0.035692721,0.067218526,0.038330921,0.005503194,0.07661764,,,0.020253786
30.11.99,0.007609168,0.000148058,-9.26E-06,0.020267262,0.085170584,0.035340781,0.069401447,0.12854969,0.083327136,0.23008833,,,0.011835543
31.12.99,0.00725469,-0.003128972,-0.004853055,0.030091007,0.064873599,0.02030925,0.07701907,0.118713349,0.067489643,0.315854651,,,-0.015141513
31.01.00,-0.005560535,-0.002705968,-0.005624785,-0.015021545,0.026438819,-0.075198584,-0.015639225,0.046734076,0.033780406,0.052423511,,,0.02539612
29.02.00,-0.004190786,0.006005165,0.006375882,0.040311197,0.012188245,-0.01866186,0.006243622,0.016556285,0.117699701,0.098901311,,,0.037066886
31.03.00,-0.011565473,0.012237193,0.010238848,0.016135698,0.016432321,0.078666965,0.06745745,0.005409813,-0.035261809,-0.014073171,,,-0.046865471
